
column_name,update_policy,writable_by,dict_mode,has_derivation,trigger,depends_on,formula,classification,notes
absolute_path,recompute_on_scan,tool_only,EXTRACTED,True,recompute_on_scan,[],NORMALIZE_PATH(INPUT.observed_absolute_path),fully specified,
allocated_at,immutable,tool_only,SYSTEM,True,on_create_only,[],NOW_UTC(),fully specified,
anchor_file_id,recompute_on_scan,tool_only,LOOKUP,True,recompute_on_scan,['relative_path'],"LOOKUP_REGISTRY('anchor_file_for', relative_path)",fully specified,
artifact_kind,manual_or_automated,both,INPUT,True,recompute_on_scan,"['extension', 'relative_path']","INFER_ARTIFACT_KIND(extension, relative_path)",fully specified,
asset_family,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
asset_id,recompute_on_scan,tool_only,LOOKUP,True,recompute_on_scan,"['relative_path', 'artifact_kind']","LOOKUP_REGISTRY('asset_by_path', relative_path)",fully specified,
asset_version,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
build_report_entity_id,recompute_on_build,tool_only,LOOKUP,True,recompute_on_build,['file_id'],"LOOKUP_REGISTRY('build_report_for', file_id)",fully specified,
canonical_path,recompute_on_scan,tool_only,EXTRACTED,True,recompute_on_scan,['relative_path'],LOWER(NORMALIZE_PATH(relative_path)),fully specified,
canonicality,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
collected_by,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,[],INPUT.collector_id,fully specified,
column_headers,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['extension', 'relative_path']","IF(
  OR(EQUALS(extension, '.csv'), EQUALS(extension, '.tsv')),
  EXTRACT_HEADERS(absolute_path),
  NULL
)
",fully specified,
confidence,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['artifact_kind', 'layer', 'governance_domain']","IF(
  AND(NOT(IS_NULL(artifact_kind)), NOT(IS_NULL(layer))),
  1.0,
  IF(NOT(IS_NULL(artifact_kind)), 0.7, 0.3)
)
",fully specified,
content_type,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['extension', 'filename']","LOOKUP_CONFIG('mime_types', COALESCE(extension, filename))",fully specified,
contracts_consumed,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['file_id', 'relative_path']","LOOKUP_REGISTRY('contracts_consumed_by', file_id)",fully specified,
contracts_produced,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['file_id', 'relative_path']","LOOKUP_REGISTRY('contracts_produced_by', file_id)",fully specified,
coverage_status,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['test_file_ids', 'has_tests']","IF(
  has_tests,
  IF(COUNT(test_file_ids) > 2, 'well_covered', 'covered'),
  'uncovered'
)
",fully specified,
created_by,immutable,tool_only,INPUT,False,,,,inconsistent,immutable but no derivation
created_utc,immutable,tool_only,INPUT,True,on_create_only,[],NOW_UTC(),fully specified,
data_transformation,recompute_on_scan,tool_only,DERIVED,True,recompute_on_scan,"['relative_path', 'extension']","IF(
  OR(
    CONTAINS(relative_path, '/transforms/'),
    ENDS_WITH(filename, '_transform.py'),
    ENDS_WITH(filename, '_converter.py')
  ),
  'transform_pipeline',
  NULL
)
",fully specified,
declared_dependencies,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
deliverables,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
depends_on_file_ids,recompute_on_scan,tool_only,LOOKUP,True,recompute_on_scan,"['file_id', 'absolute_path']","LOOKUP_REGISTRY('dependencies_of', file_id)",fully specified,
description,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
directionality,immutable,tool_only,INPUT,False,,,,inconsistent,immutable but no derivation
directory_path,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,['relative_path'],DIRNAME(relative_path),fully specified,
edge_flags,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
edge_id,immutable,tool_only,SYSTEM,True,on_create_only,['record_kind'],"IF(EQUALS(record_kind, 'relationship'), GENERATE_ID('edge'), NULL)",fully specified,
edge_type,immutable,tool_only,INPUT,False,,,,inconsistent,immutable but no derivation
edges,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['file_id', 'entity_id']","LOOKUP_REGISTRY('edges_for', COALESCE(file_id, entity_id))",fully specified,
enforced_by,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,['file_id'],"LOOKUP_REGISTRY('enforcer_of', file_id)",fully specified,
enforced_by_file_ids,recompute_on_scan,tool_only,LOOKUP,True,recompute_on_scan,['file_id'],"LOOKUP_REGISTRY('enforcers_of', file_id)",fully specified,
enforces,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['file_id', 'artifact_kind']","LOOKUP_REGISTRY('enforced_by', file_id)",fully specified,
enforces_rule_ids,recompute_on_scan,tool_only,LOOKUP,True,recompute_on_scan,"['file_id', 'artifact_kind']","LOOKUP_REGISTRY('rules_enforced_by', file_id)",fully specified,
entries,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
entity_id,immutable,tool_only,SYSTEM,True,on_create_only,['record_kind'],"IF(NOT(EQUALS(record_kind, 'file')), GENERATE_ID('entity'), NULL)",fully specified,
entity_kind,manual_or_automated,both,INPUT,False,,,,inconsistent,update_policy manual_or_automated requires derivation but none found
entrypoint_flag,recompute_on_scan,tool_only,DERIVED,True,recompute_on_scan,"['filename', 'relative_path']","OR(
  EQUALS(filename, '__main__.py'),
  EQUALS(filename, 'main.py'),
  EQUALS(filename, 'index.js'),
  EQUALS(filename, 'index.ts'),
  MATCH(relative_path, '^(bin|scripts)/[^/]+$')
)
",fully specified,
evidence,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['file_id', 'scan_id']","LOOKUP_REGISTRY('evidence_for', file_id, scan_id)",fully specified,
evidence_locator,recompute_on_scan,tool_only,INPUT,True,recompute_on_scan,"['file_id', 'evidence']","IF(NOT(IS_NULL(evidence)), LOOKUP_COLUMN(evidence, 'locator'), NULL)",fully specified,
